date,GISS,HAD,NOAA
8/11/2016 12:57,1,1.01,1
8/11/2016 12:57,1.44,1,1
8/11/2016 12:57,0.11,1,1
8/11/2016 12:57,1,0.11,1
8/11/2016 12:58,0.11,1,1
8/11/2016 12:58,0.11,1,1
8/11/2016 12:58,0.11,1,1
8/11/2016 12:58,0.11,1,1
8/11/2016 12:58,1,19.72,1
8/11/2016 12:58,19.72,1,1
8/11/2016 12:58,37.12,1,1
8/11/2016 12:58,19.72,1,1
8/11/2016 12:58,0.47,1,1
8/11/2016 12:59,1,1,1.82
8/11/2016 12:59,0.03,1,1
8/11/2016 12:59,0.93,1,1
8/11/2016 12:59,1,1,1
8/11/2016 13:00,1,1,1
8/11/2016 13:00,21.27,1,1
8/11/2016 13:00,0.93,1,1
8/11/2016 13:01,1,0.47,1
8/11/2016 13:01,1,0.93,1
8/11/2016 13:01,1.89,1,1
8/11/2016 13:02,0.93,1,1
8/11/2016 13:02,0.93,1,1
8/11/2016 13:02,1,0.93,1
8/11/2016 13:03,1.82,1,1
8/11/2016 13:03,0.11,1,1
8/11/2016 13:03,0.89,1,1
8/11/2016 13:03,2.32,1,1
8/11/2016 13:04,1,38.67,1
8/11/2016 13:04,1,1,1
8/11/2016 13:04,21.27,1,1
8/11/2016 13:04,1,1,1
8/11/2016 13:04,1,0.11,1
8/11/2016 13:04,0.11,1,1
8/11/2016 13:04,1,1,0.93
8/11/2016 13:05,0.11,1,1
8/11/2016 13:05,1,1,1
8/11/2016 13:05,1,2.78,1
8/11/2016 13:05,0.53,1,1
8/11/2016 13:05,1,1,1
8/11/2016 13:05,1.89,1,1
8/11/2016 13:06,1,0.47,1
8/11/2016 13:06,19.72,1,1
8/11/2016 13:06,2.32,1,1
8/11/2016 13:06,1,1,1
8/11/2016 13:06,1,0.11,1
8/11/2016 13:07,1,1,1
8/11/2016 13:07,21.27,1,1
8/11/2016 13:07,1,1,1
8/11/2016 13:07,1,1,1
8/11/2016 13:07,0.93,1,1
8/11/2016 13:07,0.11,1,1
8/11/2016 13:07,19.72,1,1
8/11/2016 13:07,0.93,1,1
8/11/2016 13:08,1,1,1
8/11/2016 13:08,1,1,1
8/11/2016 13:08,0.93,1,1
8/11/2016 13:08,0.11,1,1
8/11/2016 13:08,1,1,1
8/11/2016 13:09,2.64,1,1
8/11/2016 13:09,1,0.33,1
8/11/2016 13:09,1,1,1
8/11/2016 13:10,0.11,1,1
8/11/2016 13:10,1,1,1
8/11/2016 13:10,1.01,1,1
8/11/2016 13:10,2.32,1,1
8/11/2016 13:10,0.11,1,1
8/11/2016 13:10,0.11,1,1
8/11/2016 13:10,2.32,1,1
8/11/2016 13:11,1,0.11,1
8/11/2016 13:11,0.11,1,1
8/11/2016 13:11,0.11,1,1
8/11/2016 13:12,0.06,1,1
8/11/2016 13:12,0.97,1,1
